Elements,FileID,Loadcase,Step,Layer,XX,XY,YY
1,2,1,0,Mid,-67.55,26.59,12.92
2,2,1,0,Mid,-84.07,27.46,21.15
3,2,1,0,Mid,-68.52,37.46,21.01
4,2,1,0,Mid,-98.96,34.98,2.45
5,2,1,0,Mid,-90.69,27.40,25.68
6,2,1,0,Mid,-97.56,28.84,26.95
7,2,1,0,Mid,-95.39,33.91,-3.00
8,2,1,0,Mid,-97.43,27.15,20.28
9,2,1,0,Mid,-94.81,30.16,37.80
10,2,1,0,Mid,-88.40,35.85,-10.83
11,2,1,0,Mid,-95.56,21.89,18.59
12,2,1,0,Mid,-101.66,34.87,47.32
13,2,1,0,Mid,-87.20,57.51,4.90
14,2,1,0,Mid,-94.74,46.99,18.22
15,2,1,0,Mid,-102.16,57.38,31.96
16,2,1,0,Mid,-102.16,57.38,31.96
17,2,1,0,Mid,-94.74,46.99,18.22
18,2,1,0,Mid,-87.20,57.51,4.90
19,2,1,0,Mid,-101.66,34.87,47.32
20,2,1,0,Mid,-95.56,21.89,18.59
21,2,1,0,Mid,-88.40,35.85,-10.83
22,2,1,0,Mid,-94.81,30.16,37.80
23,2,1,0,Mid,-97.43,27.15,20.28
24,2,1,0,Mid,-95.39,33.91,-3.00
25,2,1,0,Mid,-97.56,28.84,26.95
26,2,1,0,Mid,-90.69,27.40,25.68
27,2,1,0,Mid,-98.96,34.98,2.45
28,2,1,0,Mid,-68.52,37.46,21.01
29,2,1,0,Mid,-84.07,27.46,21.15
30,2,1,0,Mid,-67.55,26.59,12.92
1,2,2,0,Mid,-69.72,27.95,-23.30
2,2,2,0,Mid,-84.74,27.46,-16.58
3,2,2,0,Mid,-70.69,36.11,-15.20
4,2,2,0,Mid,-98.43,33.70,-33.68
5,2,2,0,Mid,-89.48,27.40,-12.23
6,2,2,0,Mid,-97.03,30.12,-9.17
7,2,2,0,Mid,-96.10,33.61,-39.76
8,2,2,0,Mid,-97.62,27.15,-16.36
9,2,2,0,Mid,-95.53,30.46,1.04
10,2,2,0,Mid,-89.42,35.94,-47.63
11,2,2,0,Mid,-96.58,21.89,-17.97
12,2,2,0,Mid,-102.67,34.79,10.52
13,2,2,0,Mid,-88.24,57.54,-31.85
14,2,2,0,Mid,-95.84,46.99,-18.45
15,2,2,0,Mid,-103.20,57.34,-4.78
16,2,2,0,Mid,-103.20,57.34,-4.78
17,2,2,0,Mid,-95.84,46.99,-18.45
18,2,2,0,Mid,-88.24,57.54,-31.85
19,2,2,0,Mid,-102.67,34.79,10.52
20,2,2,0,Mid,-96.58,21.89,-17.97
21,2,2,0,Mid,-89.42,35.94,-47.63
22,2,2,0,Mid,-95.53,30.46,1.04
23,2,2,0,Mid,-97.62,27.15,-16.36
24,2,2,0,Mid,-96.10,33.61,-39.76
25,2,2,0,Mid,-97.03,30.12,-9.17
26,2,2,0,Mid,-89.48,27.40,-12.23
27,2,2,0,Mid,-98.43,33.70,-33.68
28,2,2,0,Mid,-70.69,36.11,-15.20
29,2,2,0,Mid,-84.74,27.46,-16.58
30,2,2,0,Mid,-69.72,27.95,-23.30
1,2,3,0,Mid,-20.73,126.30,-10.54
2,2,3,0,Mid,-28.02,109.82,7.05
3,2,3,0,Mid,-24.62,129.92,21.85
4,2,3,0,Mid,-35.56,128.65,-44.11
5,2,3,0,Mid,-30.23,109.60,8.56
6,2,3,0,Mid,-29.95,126.61,53.91
7,2,3,0,Mid,-32.85,128.77,-75.80
8,2,3,0,Mid,-32.48,108.59,6.76
9,2,3,0,Mid,-30.55,127.52,87.40
10,2,3,0,Mid,-5.17,141.61,-110.20
11,2,3,0,Mid,-31.85,87.57,6.20
12,2,3,0,Mid,-58.19,141.28,122.37
13,2,3,0,Mid,-1.65,229.79,-47.98
14,2,3,0,Mid,-31.58,187.94,6.07
15,2,3,0,Mid,-61.47,229.75,60.27
16,2,3,0,Mid,-61.47,229.75,60.27
17,2,3,0,Mid,-31.58,187.94,6.07
18,2,3,0,Mid,-1.65,229.79,-47.98
19,2,3,0,Mid,-58.19,141.28,122.37
20,2,3,0,Mid,-31.85,87.57,6.20
21,2,3,0,Mid,-5.17,141.61,-110.20
22,2,3,0,Mid,-30.55,127.52,87.40
23,2,3,0,Mid,-32.48,108.59,6.76
24,2,3,0,Mid,-32.85,128.77,-75.80
25,2,3,0,Mid,-29.95,126.61,53.91
26,2,3,0,Mid,-30.23,109.60,8.56
27,2,3,0,Mid,-35.56,128.65,-44.11
28,2,3,0,Mid,-24.62,129.92,21.85
29,2,3,0,Mid,-28.02,109.82,7.05
30,2,3,0,Mid,-20.73,126.30,-10.54
