elements,id,mass
1,1,0.00054
2,2,0.00054
3,3,0.00054
4,4,0.00054
5,5,0.00054
6,6,0.00054
7,7,0.00054
8,8,0.00054
9,9,0.00054
10,10,0.00054
11,11,0.00054
12,12,0.00054
13,13,0.00054
14,14,0.00054
15,15,0.00054
16,16,0.00054
17,17,0.00054
18,18,0.00054
19,19,0.00054
20,20,0.00054
21,21,0.00054
22,22,0.00054
23,23,0.00054
24,24,0.00054
25,25,0.00054
26,26,0.00054
27,27,0.00054
28,28,0.00054
29,29,0.00054
30,30,0.00054
40,40,0.0001296
41,41,0.0001296
42,42,0.0001296
70,70,0.0
43,43,0.0001296
44,44,0.0001296
45,45,0.0001296
46,46,0.0001296
47,47,0.0001296
48,48,0.0001296
49,49,0.0001296
50,50,0.0001296
51,51,0.0001296
52,52,0.0001296
53,53,0.0001296
54,54,0.0001296
55,55,0.0001296
56,56,0.0001296
57,57,0.0001296
58,58,0.0001296
59,59,0.0001296
60,60,0.0001296
61,61,0.0001296
62,62,0.0001296
63,63,0.0001296
64,64,0.0001296
65,65,0.0001296
66,66,0.0001296
31,31,0.00019170000000000002
32,32,0.00019170000000000002
33,33,0.00019170000000000002
34,34,0.00019170000000000002
35,35,0.00019170000000000002
36,36,0.00019170000000000002
