"Element ID","Component Name","Tensor(Element Stresses (2D & 3D))","Load Case",

1,PSHELL_1,-3.070E+01 -1.560E+01  0.000E+00  1.870E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
2,PSHELL_1,-4.148E+01  1.044E+01  0.000E+00  1.626E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
3,PSHELL_1,-3.645E+01  3.235E+01  0.000E+00  1.923E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
4,PSHELL_2,-5.264E+01 -6.530E+01  0.000E+00  1.905E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
5,PSHELL_2,-4.475E+01  1.267E+01  0.000E+00  1.623E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
6,PSHELL_2,-4.434E+01  7.981E+01  0.000E+00  1.874E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
7,PSHELL_3,-4.863E+01 -1.122E+02  0.000E+00  1.906E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
8,PSHELL_3,-4.808E+01  1.001E+01  0.000E+00  1.608E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
9,PSHELL_3,-4.523E+01  1.294E+02  0.000E+00  1.888E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
10,PSHELL_4,-7.648E+00 -1.631E+02  0.000E+00  2.096E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
11,PSHELL_4,-4.716E+01  9.172E+00  0.000E+00  1.296E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
12,PSHELL_4,-8.614E+01  1.812E+02  0.000E+00  2.092E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
13,PSHELL_5,-2.438E+00 -7.103E+01  0.000E+00  3.402E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
14,PSHELL_5,-4.675E+01  8.989E+00  0.000E+00  2.782E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
15,PSHELL_5,-9.100E+01  8.922E+01  0.000E+00  3.401E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
16,PSHELL_6,-9.100E+01  8.922E+01  0.000E+00  3.401E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
17,PSHELL_6,-4.675E+01  8.989E+00  0.000E+00  2.782E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
18,PSHELL_6,-2.438E+00 -7.103E+01  0.000E+00  3.402E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
19,PSHELL_7,-8.614E+01  1.812E+02  0.000E+00  2.092E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
20,PSHELL_7,-4.716E+01  9.172E+00  0.000E+00  1.296E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
21,PSHELL_7,-7.648E+00 -1.631E+02  0.000E+00  2.096E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
22,PSHELL_8,-4.523E+01  1.294E+02  0.000E+00  1.888E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
23,PSHELL_8,-4.808E+01  1.001E+01  0.000E+00  1.608E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
24,PSHELL_8,-4.863E+01 -1.122E+02  0.000E+00  1.906E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
25,PSHELL_9,-4.434E+01  7.981E+01  0.000E+00  1.874E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
26,PSHELL_9,-4.475E+01  1.267E+01  0.000E+00  1.623E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
27,PSHELL_9,-5.264E+01 -6.530E+01  0.000E+00  1.905E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
28,PSHELL_10,-3.645E+01  3.235E+01  0.000E+00  1.923E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
29,PSHELL_10,-4.148E+01  1.044E+01  0.000E+00  1.626E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),
30,PSHELL_10,-3.070E+01 -1.560E+01  0.000E+00  1.870E+02  0.000E+00  0.000E+00 ,Subcase 3 (LC3),

