Elements,FileID,Loadcase,Step,Element Stresses (1D):CBAR/CBEAM Axial Stress
40,2,1,0,-77.671813964844
41,2,1,0,-70.604652404785
42,2,1,0,-79.681594848633
43,2,1,0,-81.299201965332
44,2,1,0,-85.244079589844
45,2,1,0,-85.160240173340
46,2,1,0,-81.423110961914
47,2,1,0,-83.908996582031
48,2,1,0,-85.170974731445
49,2,1,0,-69.427558898926
50,2,1,0,-83.083435058594
51,2,1,0,-96.842689514160
52,2,1,0,-82.977088928223
53,2,1,0,-82.989013671875
54,2,1,0,-82.977088928223
55,2,1,0,-96.842689514160
56,2,1,0,-83.083435058594
57,2,1,0,-69.427558898926
58,2,1,0,-85.170974731445
59,2,1,0,-83.908996582031
60,2,1,0,-81.423110961914
61,2,1,0,-85.160240173340
62,2,1,0,-85.244079589844
63,2,1,0,-81.299201965332
64,2,1,0,-79.681594848633
65,2,1,0,-70.604652404785
66,2,1,0,-77.671813964844
40,2,2,0,-84.893447875977
41,2,2,0,-89.155296325684
42,2,2,0,-86.903228759766
43,2,2,0,-77.415702819824
44,2,2,0,-81.480667114258
45,2,2,0,-81.276741027832
46,2,2,0,-76.933845520020
47,2,2,0,-79.082923889160
48,2,2,0,-80.681709289551
49,2,2,0,-65.258056640625
50,2,2,0,-78.909873962402
51,2,2,0,-92.673187255859
52,2,2,0,-78.903495788574
53,2,2,0,-78.961845397949
54,2,2,0,-78.903495788574
55,2,2,0,-92.673187255859
56,2,2,0,-78.909873962402
57,2,2,0,-65.258056640625
58,2,2,0,-80.681709289551
59,2,2,0,-79.082923889160
60,2,2,0,-76.933845520020
61,2,2,0,-81.276741027832
62,2,2,0,-81.480667114258
63,2,2,0,-77.415702819824
64,2,2,0,-86.903228759766
65,2,2,0,-89.155296325684
66,2,2,0,-84.893447875977
40,2,3,0,-22.058950424194
41,2,3,0,-23.379022598267
42,2,3,0,-30.044826507568
43,2,3,0,-19.888566970825
44,2,3,0,-28.226514816284
45,2,3,0,-35.230453491211
46,2,3,0,-20.135711669922
47,2,3,0,-27.784435272217
48,2,3,0,-35.027893066406
49,2,3,0,26.938955307007
50,2,3,0,-27.511070251465
51,2,3,0,-81.995330810547
52,2,3,0,-27.475858688354
53,2,3,0,-27.479806900024
54,2,3,0,-27.475858688354
55,2,3,0,-81.995330810547
56,2,3,0,-27.511070251465
57,2,3,0,26.938955307007
58,2,3,0,-35.027893066406
59,2,3,0,-27.784435272217
60,2,3,0,-20.135711669922
61,2,3,0,-35.230453491211
62,2,3,0,-28.226514816284
63,2,3,0,-19.888566970825
64,2,3,0,-30.044826507568
65,2,3,0,-23.379022598267
66,2,3,0,-22.058950424194
